Country,Lat,Lon,Gold_x,Silver_x,Bronze_x,Total_x
Australia,-35.26666667,149.133333,5,5,5,15
Austria,48.2,16.366667,64,80,87,231
Belarus,53.9,27.566667,8,6,5,19
Belgium,50.83333333,4.333333,1,1,3,5
Bulgaria,42.68333333,23.316667,1,2,3,6
Canada,45.41666667,-75.7,73,65,61,199
China,39.91666667,116.383333,13,28,21,62
Croatia,45.8,16,4,6,1,11
Czech Republic,50.08333333,14.466667,9,11,11,31
Czechoslovakia,50.08333333,14.466667,2,8,15,25
Denmark,55.66666667,12.583333,0,1,0,1
Estonia,59.43333333,24.716667,4,2,1,7
Finland,60.16666667,24.933333,43,63,61,167
France,48.86666667,2.333333,36,35,53,124
Germany,52.51666667,13.4,140,129,100,369
Great Britain,51.5,-0.083333,11,4,16,31
Hungary,47.5,19.083333,1,2,4,7
Italy,41.9,12.483333,40,36,48,124
Japan,35.68333333,139.75,14,22,22,58
Kazakhstan,51.16666667,71.416667,1,3,4,8
Latvia,56.95,24.1,0,4,4,8
Liechtenstein,47.13333333,9.516667,2,2,6,10
Luxembourg,49.6,6.116667,0,2,0,2
Netherlands,52.35,4.916667,45,44,41,130
New Zealand,-41.3,174.783333,2,1,0,3
North Korea,39.01666667,125.75,0,1,1,2
Norway,59.91666667,10.75,132,125,110,367
Poland,52.25,21,7,7,8,22
Romania,44.43333333,26.1,0,0,1,1
Russia,55.75,37.6,50,46,45,141
Slovakia,48.15,17.116667,3,4,1,8
Slovenia,46.05,14.516667,2,5,10,17
South Korea,37.55,126.983333,31,25,14,70
Soviet Union,55.75,37.6,78,57,59,194
Spain,40.4,-3.683333,1,0,3,4
Sweden,59.33333333,18.05,57,46,55,158
Switzerland,46.91666667,7.466667,54,47,51,152
Ukraine,50.43333333,30.516667,3,1,4,8
Unified Team,53.9,27.566667,9,6,8,23
United States,38.9072,-77.0369,105,110,90,305
Uzbekistan,41.31666667,69.25,1,0,0,1
West Germany,50.7374,7.0982,11,15,13,39
Yugoslavia,43.85,18.25,0,3,1,4
