Year,Sport,Event,Country,Medal Rank,Lat,Lon,Gold,Silver,Bronze
1924,Figure Skating,Mixed Pairs,Austria,1,48.2,16.366667,1,,
1924,Figure Skating,Women's Singles,Austria,1,48.2,16.366667,1,,
1924,Figure Skating,Men's Singles,Austria,2,48.2,16.366667,,1,
1924,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7,1,,
1924,Speedskating,"Men's 1,500 Meters",Finland,1,60.16666667,24.933333,1,,
1924,Speedskating,"Men's 5,000 Meters",Finland,1,60.16666667,24.933333,1,,
1924,Speedskating,"Men's 10,000 Meters",Finland,1,60.16666667,24.933333,1,,
1924,Figure Skating,Mixed Pairs,Finland,2,60.16666667,24.933333,,1,
1924,Speedskating,"Men's 5,000 Meters",Finland,2,60.16666667,24.933333,,1,
1924,Speedskating,"Men's 10,000 Meters",Finland,2,60.16666667,24.933333,,1,
1924,Speedskating,Men's 500 Meters,Finland,3,60.16666667,24.933333,,,1
1924,Curling,Men's Curling,France,3,48.86666667,2.333333,,,1
1924,Figure Skating,Mixed Pairs,France,3,48.86666667,2.333333,,,1
1924,Curling,Men's Curling,Great Britain,1,51.5,-0.083333,1,,
1924,Figure Skating,Women's Singles,Great Britain,3,51.5,-0.083333,,,1
1924,Ice Hockey,Men's Ice Hockey,Great Britain,3,51.5,-0.083333,,,1
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,1,59.91666667,10.75,1,,
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,2,59.91666667,10.75,,1,
1924,Speedskating,Men's 500 Meters,Norway,2,59.91666667,10.75,,1,
1924,Speedskating,"Men's 1,500 Meters",Norway,2,59.91666667,10.75,,1,
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,3,59.91666667,10.75,,,1
1924,Speedskating,Men's 500 Meters,Norway,3,59.91666667,10.75,,,1
1924,Speedskating,"Men's 1,500 Meters",Norway,3,59.91666667,10.75,,,1
1924,Speedskating,"Men's 5,000 Meters",Norway,3,59.91666667,10.75,,,1
1924,Speedskating,"Men's 10,000 Meters",Norway,3,59.91666667,10.75,,,1
1924,Figure Skating,Men's Singles,Sweden,1,59.33333333,18.05,1,,
1924,Curling,Men's Curling,Sweden,2,59.33333333,18.05,,1,
1924,Figure Skating,Men's Singles,Switzerland,3,46.91666667,7.466667,,,1
1924,Speedskating,Men's 500 Meters,United States,1,38.9072,-77.0369,1,,
1924,Figure Skating,Women's Singles,United States,2,38.9072,-77.0369,,1,
1924,Ice Hockey,Men's Ice Hockey,United States,2,38.9072,-77.0369,,1,
1928,Figure Skating,Men's Singles,Austria,2,48.2,16.366667,,1,
1928,Figure Skating,Mixed Pairs,Austria,2,48.2,16.366667,,1,
1928,Figure Skating,Women's Singles,Austria,2,48.2,16.366667,,1,
1928,Figure Skating,Mixed Pairs,Austria,3,48.2,16.366667,,,1
1928,Figure Skating,Men's Singles,Belgium,3,50.83333333,4.333333,,,1
1928,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7,1,,
1928,Speedskating,Men's 500 Meters,Finland,1,60.16666667,24.933333,1,,
1928,Speedskating,"Men's 1,500 Meters",Finland,1,60.16666667,24.933333,1,,
