Year,Sport,Event,Country,Medal Rank,Lat,Lon
1924,Figure Skating,Men's Singles,Austria,2,48.2,16.366667
1924,Figure Skating,Mixed Pairs,Austria,1,48.2,16.366667
1924,Figure Skating,Women's Singles,Austria,1,48.2,16.366667
1924,Bobsled,Men's Four/Five,Belgium,3,50.83333333,4.333333
1924,Ice Hockey,Men's Ice Hockey,Canada,1,45.41666667,-75.7
1924,Cross-Country Skiing,Men's 18 Kilometers,Finland,3,60.16666667,24.933333
1924,Figure Skating,Mixed Pairs,Finland,2,60.16666667,24.933333
1924,Biathlon,Men's Military Ski Patrol,Finland,2,60.16666667,24.933333
1924,Speedskating,Men's 500 Meters,Finland,3,60.16666667,24.933333
1924,Speedskating,"Men's 1,500 Meters",Finland,1,60.16666667,24.933333
1924,Speedskating,"Men's 5,000 Meters",Finland,1,60.16666667,24.933333
1924,Speedskating,"Men's 5,000 Meters",Finland,2,60.16666667,24.933333
1924,Speedskating,"Men's 10,000 Meters",Finland,1,60.16666667,24.933333
1924,Speedskating,"Men's 10,000 Meters",Finland,2,60.16666667,24.933333
1924,Speedskating,Men's Allround,Finland,1,60.16666667,24.933333
1924,Speedskating,Men's Allround,Finland,3,60.16666667,24.933333
1924,Curling,Men's Curling,France,3,48.86666667,2.333333
1924,Figure Skating,Mixed Pairs,France,3,48.86666667,2.333333
1924,Biathlon,Men's Military Ski Patrol,France,3,48.86666667,2.333333
1924,Bobsled,Men's Four/Five,Great Britain,2,51.5,-0.083333
1924,Curling,Men's Curling,Great Britain,1,51.5,-0.083333
1924,Figure Skating,Women's Singles,Great Britain,3,51.5,-0.083333
1924,Ice Hockey,Men's Ice Hockey,Great Britain,3,51.5,-0.083333
1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,1,59.91666667,10.75
1924,Cross-Country Skiing,Men's 18 Kilometers,Norway,2,59.91666667,10.75
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,1,59.91666667,10.75
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,2,59.91666667,10.75
1924,Cross-Country Skiing,Men's 50 Kilometers,Norway,3,59.91666667,10.75
1924,Nordic Combined,Men's Individual,Norway,1,59.91666667,10.75
1924,Nordic Combined,Men's Individual,Norway,2,59.91666667,10.75
1924,Nordic Combined,Men's Individual,Norway,3,59.91666667,10.75
1924,Ski Jumping,"Men's Normal Hill, Individual",Norway,1,59.91666667,10.75
