Country,Gold,Silver,Bronze,Total
Germany,13.304938,12.423865,8.468517,34.200475
United States,8.737703,8.930442,8.16737,25.873304
Norway,9.542529,8.49418,7.470627,25.586041
Canada,8.636452,7.711165,6.090819,22.464903
ROC,3.723646,7.287529,11.142462,22.269231
Austria,4.930853,5.561746,7.326002,17.864528
South Korea,5.162205,7.557807,3.423116,16.131148
Netherlands,5.998734,4.09772,5.313305,15.422468
Switzerland,4.610455,3.585948,3.956117,12.068417
Italy,3.282677,3.278728,5.432943,11.994356
China,3.589605,5.125918,3.015091,11.713593
France,3.163731,3.410608,5.005077,11.59766
Sweden,3.731149,2.988819,3.482374,10.207656
Czech Republic,2.399314,2.738475,3.732691,8.865044
Japan,1.836548,3.16234,3.203621,8.234856
Finland,1.262163,2.639527,3.612027,7.463294
Belarus,3.563921,1.000031,0.437853,4.995266
Slovenia,0.89063,2.080026,1.71719,4.668437
Poland,2.359419,0.868777,0.870222,4.137874
Poland,2.359419,0.868777,0.870222,4.137874
Australia,0.714323,2.281942,0.716344,3.713408
Slovakia,1.497426,1.496395,0.002828,2.99411
Latvia,0,1.000554,1.496396,2.487352
Great Britain,0.757865,0.141724,1.090423,2.005261
Spain,-0.2,0,2.2,2
Liechtenstein,-0.161262,-0.161268,0.884426,0.544486
Kazakhstan,-0.251817,-0.197814,0.831817,0.382161
Croatia,-2.49303,1.500817,0.596012,-0.398393
