,Country,Gold,Silver,Bronze,Actual,Predicted
0,Norway,16,8,13,37,32.77
1,Russia,6,12,14,32,19.86
2,Germany,12,10,5,27,29.93
3,Canada,4,8,14,26,31.22
4,United States,8,10,7,25,31.25
5,Sweden,8,5,5,18,14.93
6,Austria,7,7,4,18,15.200000000000001
7,Japan,3,6,9,18,9.22
8,Netherlands,8,5,4,17,18.13
9,Italy,2,7,8,17,7.36
10,China,9,4,2,15,9.45
11,Switzerland,7,2,5,14,14.72
12,France,5,7,2,14,14.56
13,South Korea,2,5,2,9,14.95
14,Finland,2,2,4,8,5.29
15,Slovenia,2,3,2,7,3.0500000000000003
16,Australia,1,2,1,4,2.8
17,New Zealand,2,1,0,3,1.7500000000000002
18,Hungary,1,0,2,3,0.44
19,Great Britain,1,1,0,2,3.57
20,Belgium,1,0,1,2,0.0
21,Czech Republic,1,0,1,2,6.07
22,Slovakia,1,0,1,2,3.2600000000000002
23,Belarus,0,2,0,2,6.17
24,Spain,0,1,0,1,0.45999999999999996
25,Ukraine,0,1,0,1,1.2999999999999998
26,Estonia,0,0,1,1,0.42
27,Latvia,0,0,1,1,1.71
28,Poland,0,0,1,1,3.96
