Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","max time avail."
Albania,"ALB","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.0026302337646","12.8996601104736","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.8996601104736"
Albania,"ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837743","3286542"
Albania,"ALB","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","51.4066760345238","51.4026119770381","51.3963773432892","51.3886910935115","51.3823401309035","51.3785383733042","51.3769639743798","51.3778910044963","51.3791141383965","51.3782671933355","51.3738292205715","51.3652343625834","51.3542242480007","51.3423325141223","51.3329789236459","51.3279455064056","51.3277384288155","51.3309127580464","51.3355606929586","51.3391786736167","51.3396779435024","51.3314490441787","51.3139522715251","51.2962468895734","51.289985131581","51.2998577956952","51.3415178564096","51.404016522811","51.4389691631167","51.385442152691","51.2087995690901","50.8756409666269","50.4070536035296","49.8921505910749","49.4732590120254","49.2625741144256","49.3178588820663","49.5963702844135","49.9948403879643","50.3647484548628","50.6034360993032","50.6814548738042","50.6347836962839","50.5077746529284","50.3710111749423","50.2776328960966","50.2354048503096","50.227307709675","50.2523576414826","50.3039309206322","50.3749454296413","50.4697976952135","50.5890516116346","50.7154792291999","50.8266216254009","50.9062024740151","50.9470012579566","50.9536022334336","50.9369054040694","50.9138943105883","50.8970046563347","51.4389691631167"
Albania,"ALB","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.5933239654763","48.5973880229619","48.6036226567108","48.6113089064885","48.6176598690966","48.6214616266958","48.6230360256202","48.6221089955037","48.6208858616035","48.6217328066645","48.6261707794285","48.6347656374166","48.6457757519993","48.6576674858777","48.6670210763541","48.6720544935944","48.6722615711845","48.6690872419536","48.6644393070414","48.6608213263833","48.6603220564976","48.6685509558213","48.686047728475","48.7037531104266","48.710014868419","48.7001422043048","48.6584821435904","48.595983477189","48.5610308368833","48.614557847309","48.7912004309099","49.1243590333731","49.5929463964704","50.1078494089252","50.5267409879746","50.7374258855744","50.6821411179337","50.4036297155865","50.0051596120358","49.6352515451372","49.3965639006968","49.3185451261958","49.3652163037161","49.4922253470716","49.6289888250577","49.7223671039034","49.7645951496905","49.772692290325","49.7476423585174","49.6960690793678","49.6250545703587","49.5302023047865","49.4109483883654","49.2845207708001","49.1733783745991","49.0937975259849","49.0529987420434","49.0463977665664","49.0630945959306","49.0861056894117","49.1029953436653","50.7374258855744"
Albania,"ALB","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","25.4","#N/A","#N/A","18.5","#N/A","#N/A","12.4","#N/A","#N/A","#N/A","14.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","25.4"
Albania,"ALB","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","44.6","#N/A","#N/A","#N/A","#N/A","#N/A","49.7","#N/A","#N/A","38.5","#N/A","#N/A","31.1","#N/A","#N/A","#N/A","34.5","#N/A","37","34.3","34.2","33.8","#N/A","#N/A","#N/A","49.7"
Albania,"ALB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49.13832074","49.0811986","48.98476504","48.88544453","50.71767849","52.57833406","54.46708104","56.38384125","58.32847968","60.30090739","62.30062916","64.32740144","66.38085219","68.45983191","70.56325981","70.59197092","70.61650808","70.63694219","70.65335019","70.66585365","70.67453739","70.67453739"
American Samoa,"ASM","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
American Samoa,"ASM","Population, total","SP.POP.TOTL","20127","20605","21246","22029","22850","23675","24473","25235","25980","26698","27362","27982","28564","29103","29595","30045","30455","30834","31262","31842","32648","33697","34969","36413","37946","39521","41114","42741","44346","45894","47351","48682","49900","51025","52099","53158","54209","55227","56180","57049","57816","58496","59077","59495","59684","59557","59109","58367","57490","56675","56084","55755","55669","55717","55791","55806","55739","55617","55461","55312","55197","59684"
American Samoa,"ASM","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
American Samoa,"ASM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
American Samoa,"ASM","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
